Date,Open,High,Low,Close,Adj Close,Volume
2006-05-25,4.030000,4.605000,4.020000,4.600000,4.247399,395343000
2006-05-26,4.630000,4.674000,4.411000,4.493000,4.148599,103044000
2006-05-30,4.497000,4.498000,4.285000,4.400000,4.062728,49898000
2006-05-31,4.435000,4.536000,4.435000,4.494000,4.149522,30002000
2006-06-01,4.493000,4.810000,4.490000,4.751000,4.386823,62344000
2006-06-02,4.850000,4.870000,4.679000,4.699000,4.338808,37253000
2006-06-05,4.705000,4.925000,4.700000,4.915000,4.538250,37188000
2006-06-06,4.998000,5.063000,4.780000,4.830000,4.459769,49045000
2006-06-07,4.833000,4.840000,4.675000,4.760000,4.395134,25013000
2006-06-08,4.760000,4.772000,4.550000,4.772000,4.406213,34439000
2006-06-09,4.880000,4.880000,4.768000,4.778000,4.411754,13372000
2006-06-12,4.800000,4.825000,4.630000,4.695000,4.335115,14546000
2006-06-13,4.620000,4.735000,4.530000,4.550000,4.201229,16716000
2006-06-14,4.490000,4.545000,4.444000,4.512000,4.166144,15971000
2006-06-15,4.540000,4.612000,4.513000,4.595000,4.242781,16500000
2006-06-16,4.550000,4.600000,4.500000,4.502000,4.156910,12280000
2006-06-19,4.545000,4.545000,4.410000,4.434000,4.094123,11509000
2006-06-20,4.474000,4.500000,4.347000,4.402000,4.064575,23792000
2006-06-21,4.402000,4.588000,4.400000,4.530000,4.182764,18063000
2006-06-22,4.640000,4.695000,4.588000,4.660000,4.302798,13038000
2006-06-23,4.699000,4.793000,4.687000,4.695000,4.335115,11612000
2006-06-26,4.695000,4.750000,4.643000,4.750000,4.385900,8565000
2006-06-27,4.750000,4.803000,4.725000,4.731000,4.368355,9826000
2006-06-28,4.685000,4.740000,4.650000,4.696000,4.336040,8756000
2006-06-29,4.695000,4.809000,4.695000,4.800000,4.432068,14470000
2006-06-30,4.765000,4.800000,4.660000,4.800000,4.432068,25964000
2006-07-03,4.790000,4.800000,4.681000,4.730000,4.367433,7029000
2006-07-05,4.740000,4.784000,4.671000,4.760000,4.395134,13266000
2006-07-06,4.725000,4.735000,4.679000,4.680000,4.321266,8097000
2006-07-07,4.675000,4.685000,4.575000,4.612000,4.258478,8380000
2006-07-10,4.620000,4.657000,4.612000,4.649000,4.292641,4978000
2006-07-11,4.649000,4.649000,4.530000,4.635000,4.279715,8079000
2006-07-12,4.640000,4.640000,4.554000,4.555000,4.205847,7672000
2006-07-13,4.518000,4.518000,4.430000,4.472000,4.129208,16625000
2006-07-14,4.462000,4.468000,4.390000,4.395000,4.058113,9663000
2006-07-17,4.391000,4.417000,4.375000,4.399000,4.061806,6458000
2006-07-18,4.399000,4.410000,4.367000,4.390000,4.053494,12483000
2006-07-19,4.391000,4.545000,4.380000,4.528000,4.180917,15840000
2006-07-20,4.540000,4.578000,4.510000,4.555000,4.205847,8829000
2006-07-21,4.555000,4.555000,4.477000,4.528000,4.180917,8510000
2006-07-24,4.545000,4.553000,4.499000,4.500000,4.155063,5017000
2006-07-25,4.520000,4.640000,4.516000,4.608000,4.254785,6900000
2006-07-26,4.614000,4.785000,4.580000,4.668000,4.310189,10338000
2006-07-27,4.690000,4.717000,4.652000,4.652000,4.295410,6009000
2006-07-28,4.651000,4.680000,4.626000,4.630000,4.275097,4339000
2006-07-31,4.630000,4.641000,4.586000,4.587000,4.235393,4616000
2006-08-01,4.592000,4.592000,4.470000,4.500000,4.155063,7390000
2006-08-02,4.799000,5.005000,4.731000,5.002000,4.618585,53372000
2006-08-03,4.913000,5.024000,4.865000,4.999000,4.615813,21689000
2006-08-04,5.030000,5.150000,4.999000,5.005000,4.621354,14216000
2006-08-07,5.050000,5.130000,5.025000,5.110000,4.718305,6918000
2006-08-08,5.110000,5.267000,5.105000,5.257000,4.854035,14073000
2006-08-09,5.300000,5.450000,5.200000,5.285000,4.879892,15043000
